# code name : Parallel Tempering for 2D Ferromagnetic Ising Model
# author : Andrew Noble
# version : v0.1
# inspired by : Prof. Helmut Katzgraber

# system size : 20
# number of spins : 400
# space dimension : 2
# lattice coordination number : 4
# process ID : 12523
# hostname : Andrews-MacBook-Pro-4.local
# job start : Sun Mar  1 23:14:55 2020

# temperature set
# | 0.10
# | 0.13
# | 0.16
# | 0.20
# | 0.25
# | 0.32
# | 0.40
# | 0.50
# | 0.63
# | 0.79
# | 1.00
# | 1.26
# | 1.58
# | 2.00
# | 2.51
# | 3.16
# | 3.98
# | 5.01
# | 6.31
# | 7.94
# | 10.00

# T MCS <energy> <m>
5.0100 24000 -0.3000 0.0400
6.3100 24000 -0.2200 0.0300
7.9400 24000 -0.2100 0.0200
10.0000 24000 -0.2400 0.0800

0.1000 25000 -2.0000 1.0000
0.1300 25000 -2.0000 1.0000
0.1600 25000 -2.0000 1.0000
0.2000 25000 -2.0000 1.0000
0.2500 25000 -2.0000 1.0000
0.3200 25000 -2.0000 1.0000
0.4000 25000 -2.0000 1.0000
0.5000 25000 -2.0000 1.0000
0.6300 25000 -2.0000 1.0000
0.7900 25000 -2.0000 1.0000
1.0000 25000 -2.0000 1.0000
1.2600 25000 -2.0000 1.0000
1.5800 25000 -1.9800 0.9950
2.0000 25000 -1.6900 0.8350
2.5100 25000 -0.8800 0.1250
3.1600 25000 -0.7000 0.0400
3.9800 25000 -0.4200 0.1150
5.0100 25000 -0.3100 0.0500
6.3100 25000 -0.1700 0.0350
7.9400 25000 -0.2300 0.0000
10.0000 25000 -0.4300 0.0200

0.1000 26000 -2.0000 1.0000
0.1300 26000 -2.0000 1.0000
0.1600 26000 -2.0000 1.0000
0.2000 26000 -2.0000 1.0000
0.2500 26000 -2.0000 1.0000
0.3200 26000 -2.0000 1.0000
0.4000 26000 -2.0000 1.0000
0.5000 26000 -2.0000 1.0000
0.6300 26000 -2.0000 1.0000
0.7900 26000 -2.0000 1.0000
1.0000 26000 -1.9700 0.9900
1.2600 26000 -2.0000 1.0000
1.5800 26000 -1.9400 0.9850
2.0000 26000 -1.7200 0.8750
2.5100 26000 -1.1000 0.0100
3.1600 26000 -0.5800 0.1450
3.9800 26000 -0.5500 0.0650
5.0100 26000 -0.6000 0.2050
6.3100 26000 -0.3300 0.1500
7.9400 26000 -0.0700 0.0300
10.0000 26000 -0.2000 0.0650

0.1000 27000 -2.0000 1.0000
0.1300 27000 -2.0000 1.0000
0.1600 27000 -2.0000 1.0000
0.2000 27000 -2.0000 1.0000
0.2500 27000 -2.0000 1.0000
0.3200 27000 -2.0000 1.0000
0.4000 27000 -2.0000 1.0000
0.5000 27000 -2.0000 1.0000
0.6300 27000 -2.0000 1.0000
0.7900 27000 -2.0000 1.0000
1.0000 27000 -2.0000 1.0000
1.2600 27000 -2.0000 1.0000
1.5800 27000 -1.9800 0.9950
2.0000 27000 -1.6300 0.8750
2.5100 27000 -1.3700 0.7200
3.1600 27000 -0.7800 0.0400
3.9800 27000 -0.4600 0.1600
5.0100 27000 -0.5000 0.1500
6.3100 27000 -0.4100 0.0350
7.9400 27000 -0.3400 0.0200
10.0000 27000 -0.1100 0.0150

0.1000 28000 -2.0000 1.0000
0.1300 28000 -2.0000 1.0000
0.1600 28000 -2.0000 1.0000
0.2000 28000 -2.0000 1.0000
0.2500 28000 -2.0000 1.0000
0.3200 28000 -2.0000 1.0000
0.4000 28000 -2.0000 1.0000
0.5000 28000 -2.0000 1.0000
0.6300 28000 -2.0000 1.0000
0.7900 28000 -2.0000 1.0000
1.0000 28000 -2.0000 1.0000
1.2600 28000 -2.0000 1.0000
1.5800 28000 -1.9400 0.9850
2.0000 28000 -1.7500 0.9250
2.5100 28000 -1.0700 0.4500
3.1600 28000 -0.7200 0.0100
3.9800 28000 -0.5700 0.0500
5.0100 28000 -0.4400 0.0100
6.3100 28000 -0.2800 0.0300
7.9400 28000 -0.3000 0.1500
10.0000 28000 -0.2200 0.0300

0.1000 29000 -2.0000 1.0000
0.1300 29000 -2.0000 1.0000
0.1600 29000 -2.0000 1.0000
0.2000 29000 -2.0000 1.0000
0.2500 29000 -2.0000 1.0000
0.3200 29000 -2.0000 1.0000
0.4000 29000 -2.0000 1.0000
0.5000 29000 -2.0000 1.0000
0.6300 29000 -2.0000 1.0000
0.7900 29000 -2.0000 1.0000
1.0000 29000 -2.0000 1.0000
1.2600 29000 -2.0000 1.0000
1.5800 29000 -1.9200 0.9800
2.0000 29000 -1.7800 0.9400
2.5100 29000 -1.1300 0.1000
3.1600 29000 -0.7200 0.1500
3.9800 29000 -0.6200 0.1300
5.0100 29000 -0.3200 0.0350
6.3100 29000 -0.3200 0.0500
7.9400 29000 -0.1300 0.0150
10.0000 29000 -0.1200 0.0550

0.1000 30000 -2.0000 1.0000
0.1300 30000 -2.0000 1.0000
0.1600 30000 -2.0000 1.0000
0.2000 30000 -2.0000 1.0000
0.2500 30000 -2.0000 1.0000
0.3200 30000 -2.0000 1.0000
0.4000 30000 -2.0000 1.0000
0.5000 30000 -2.0000 1.0000
0.6300 30000 -2.0000 1.0000
0.7900 30000 -2.0000 1.0000
1.0000 30000 -2.0000 1.0000
1.2600 30000 -1.9800 0.9950
1.5800 30000 -1.9000 0.9750
2.0000 30000 -1.7700 0.9350
2.5100 30000 -0.9900 0.0200
3.1600 30000 -0.7000 0.0700
3.9800 30000 -0.6200 0.0450
